userId,resId,X
15926,7443,0.81
16911,7443,0.87
27885,7443,0.87
1489,902,0.55
15926,6468,0.86
27885,6468,0.78
27885,6468,0.82
16623,8496,0.72
17645,1337,0.74
17645,1337,0.57
13707,1337,0.86
13745,1337,0.8
16911,725,0.77
16162,725,0.75
16282,725,0.78
24610,725,0.83
16684,6747,0.99
17595,6747,0.89
27885,6747,0.84
16911,6747,0.82
13707,6747,0.68
27885,6747,0.85
27885,6747,0.84
16911,7710,0.66
18711,9208,0.65
18785,9208,0.58
16911,7190,0.94
822,473,0.48
29053,10503,0.78
20681,10503,0.69
26844,10503,0.81
2456,10503,0.78
20681,3255,0.73
27355,3255,0.79
24946,1615,0.78
24946,1615,0.81
15096,1615,0.65
15096,1615,0.81
15096,996,0.75
15096,996,0.82
15092,996,0.59
15096,996,0.82
15096,996,0.85
15096,996,0.66
4372,996,0.79
14177,1361,0.72
14177,1361,0.78
13356,1361,0.79
17541,1361,0.82
4372,1361,0.75
27999,1361,0.76
3119,1361,0.65
4372,1361,0.61
17541,1361,0.73
27999,1361,0.77
12029,1361,0.72
24946,8937,0.75
29183,8937,0.79
28782,8937,0.75
6658,8937,0.74
29183,8937,0.78
15096,2716,0.83
15096,2716,0.77
15096,2716,0.83
15096,2716,0.83
25661,2716,0.78
19065,2716,0.88
20295,2716,0.77
20295,2716,0.73
25661,2716,0.8
27999,2716,0.81
17541,550,0.84
24946,550,0.77
28782,550,0.59
24946,550,0.82
25661,550,0.74
24946,550,0.75
19573,550,0.84
24946,550,0.84
17541,550,0.79
19573,550,0.82
24946,550,0.8
25661,550,0.62
28782,550,0.64
17541,550,0.76
25661,550,0.66
24946,550,0.74
17541,550,0.72
24946,550,0.7
28782,550,0.74
24946,550,0.81
15092,550,0.69
24946,550,0.85
20295,550,0.59
15092,550,0.57
29183,550,0.58
23518,550,0.61
3119,550,0.64
29183,550,0.79
3119,550,0.69
19065,550,0.86
14177,550,0.8
27999,2033,0.71
27999,2033,0.62
23518,2033,0.75
12029,2033,0.71
4372,2033,0.51
14177,3637,0.72
15096,3637,0.82
15096,3637,0.73
15096,3637,0.8
15096,3637,0.82
14177,3637,0.67
15096,3637,0.83
15096,3637,0.82
13356,3637,0.58
24946,3637,0.73
24946,3637,0.83
24946,3637,0.77
24946,3637,0.79
12029,3637,0.77
3119,3637,0.64
17541,3637,0.84
3119,3637,0.66
3119,1406,0.7
25661,1406,0.77
19065,1406,0.84
14374,1406,0.42
12029,1406,0.78
3119,1406,0.72
27999,1406,0.8
14177,4187,0.81
14177,4187,0.79
14177,4187,0.78
6658,4187,0.8
6658,4187,0.69
6658,4187,0.77
27999,4187,0.69
15096,4340,0.84
15096,4340,0.77
29183,4340,0.74
17541,4340,0.55
27999,4340,0.75
27999,4340,0.7
