userId,resId,X
27027,1431,0.82
15096,1431,0.83
30197,1431,0.76
13356,3690,0.76
19252,3690,0.45
13356,5148,0.83
30197,5148,0.66
13356,7878,0.76
13356,7878,0.71
13356,2196,0.74
4337,2196,0.74
13356,2196,0.76
13356,2196,0.64
15092,2196,0.56
15096,2196,0.44
15396,2196,0.14
13356,2196,0.83
15096,2196,0.77
15092,2196,0.74
13356,2196,0.85
15092,2196,0.86
15096,2196,0.84
13356,2196,0.64
15092,2196,0.75
15096,2196,0.67
13356,10133,0.62
13356,10133,0.54
3503,7020,0.83
15096,7020,0.76
3503,7020,0.84
15096,7020,0.77
15096,7020,0.74
26460,7020,0.86
13356,6399,0.79
13356,6399,0.74
13356,6399,0.8
13356,6399,0.72
13356,2520,0.74
13356,2520,0.77
19252,2520,0.75
15096,4616,0.81
3503,4616,0.85
15096,4616,0.83
15096,4616,0.83
15096,4616,0.84
15096,4616,0.79
11945,1424,0.56
11945,1424,0.6
11945,1424,0.63
13356,1424,0.8
13356,1424,0.78
13356,1424,0.79
13356,1424,0.76
13356,1424,0.76
19252,1424,0.85
16942,1424,0.85
19252,1424,0.77
303,1424,0.62
5398,1424,0.86
27282,1424,0.83
20809,1424,0.79
30197,1424,0.77
30197,1424,0.63
13356,3620,0.74
13356,3620,0.75
13356,3620,0.77
16942,3620,0.85
19252,3620,0.88
30197,3620,0.77
13356,7342,0.8
13356,7342,0.79
13356,7342,0.82
13355,7342,0.78
13355,7342,0.83
13356,7342,0.81
23534,6820,0.85
24350,6820,0.87
13356,6820,0.75
20495,2561,0.9
13356,2561,0.7
21116,2561,0.71
1489,2561,0.69
13356,2212,0.71
15096,2212,0.81
15096,2212,0.8
15096,2212,0.82
15096,2212,0.84
16942,2212,0.8
20681,2212,0.81
15096,2212,0.72
13356,1734,0.67
31597,1734,0.82
29233,1734,0.78
13356,1734,0.73
13355,1734,0.73
13356,1734,0.7
22056,1734,0.73
19252,1734,0.73
303,1734,0.55
4288,1734,0.81
27282,1734,0.8
30197,1734,0.73
1489,1734,0.71
4288,7316,0.98
13916,7316,0.81
4288,7316,0.89
931,534,0.92
7010,534,0.82
13356,1969,0.73
13355,1969,0.64
13356,1969,0.67
13356,3426,0.82
15096,3426,0.82
14769,3426,0.82
15096,3426,0.85
30197,457,0.57
30197,457,0.56
13356,3626,0.89
13356,3626,0.79
13356,3626,0.84
19252,3626,0.62
13356,830,0.71
15096,830,0.83
15096,830,0.72
26460,830,0.82
20191,830,0.88
18281,830,0.78
27282,830,0.76
1489,830,0.69
13356,3267,0.76
13356,3267,0.68
19252,3913,0.81
19252,3913,0.66
13356,828,0.8
4337,828,0.81
13356,828,0.83
13356,828,0.76
30197,828,0.68
23534,2131,0.76
11945,2131,0.38
6658,2131,0.64
13230,2131,0.69
26550,2131,0.64
6658,2131,0.62
4288,2131,0.95
1489,2131,0.52
4337,2131,0.72
22056,10145,0.73
19252,2341,0.73
25661,2341,0.81
13356,5189,0.69
13356,5189,0.68
16514,5189,0.78
16942,5189,0.87
30197,5189,0.65
23534,9394,0.84
7151,9394,0.84
23534,9394,0.83
23534,9394,0.83
7151,9394,0.92
23534,9394,0.89
13356,9394,0.82
23534,3976,0.79
13356,3976,0.8
13355,3976,0.61
13356,3976,0.76
19252,3976,0.75
4707,3976,0.8
4337,3976,0.76
19573,4057,0.81
19573,4057,0.86
6658,4057,0.8
16514,4057,0.86
6658,4057,0.8
13356,4701,0.74
13356,4701,0.77
13356,4701,0.85
13355,4701,0.73
13356,4701,0.89
13356,4701,0.66
13356,4701,0.78
19252,4701,0.87
1489,4701,0.84
12029,3852,0.76
3795,3852,0.86
13356,3852,0.76
13356,3852,0.84
13355,3852,0.72
14177,3852,0.8
21865,3852,0.71
13356,7475,0.76
13356,7475,0.79
13356,7475,0.87
13355,7475,0.86
13355,7475,0.79
13356,7475,0.78
19989,2365,0.71
30197,2365,0.72
4372,2365,0.8
13356,8398,0.73
13355,8398,0.7
13356,8398,0.67
13356,1979,0.82
13356,1979,0.82
13356,1979,0.86
13356,1979,0.77
30197,1979,0.83
13356,7521,0.77
13356,7521,0.85
13356,7521,0.85
13355,7521,0.79
13356,7521,0.88
23534,7476,0.72
13356,7476,0.72
13355,7476,0.76
13356,7476,0.82
13356,3452,0.88
13356,3452,0.82
13355,3452,0.81
13356,3452,0.86
19252,3452,0.8
15096,4880,0.77
13356,4880,0.78
14769,4880,0.75
19252,4880,0.86
20809,4880,0.87
20809,4880,0.89
19252,4880,0.79
1489,4880,0.82
13356,3348,0.83
13356,3348,0.68
13356,3348,0.81
13355,3348,0.7
13356,3348,0.75
4337,8131,0.85
13356,8131,0.78
19573,5621,0.83
19573,5621,0.81
19573,5621,0.7
22056,5621,0.91
19252,5621,0.81
13356,274,0.84
13356,274,0.8
13356,274,0.84
13356,274,0.8
12029,274,0.57
13356,274,0.61
3119,274,0.68
12029,274,0.79
15096,274,0.47
19252,274,0.69
30197,274,0.75
21805,274,0.74
931,3983,0.93
17085,3983,0.72
19252,3983,0.71
4139,3983,0.66
1489,3983,0.64
1457,3900,0.61
13356,3900,0.81
22056,3900,0.68
20809,3900,0.87
13356,1480,0.84
13355,1480,0.72
13356,1480,0.76
30197,1480,0.76
30197,1480,0.77
30197,1480,0.74
30197,1480,0.73
30197,1480,0.79
30197,1480,0.68
30197,1480,0.68
30197,1480,0.75
28585,3932,0.75
13356,3932,0.77
13355,3932,0.74
19252,3932,0.75
6583,3932,0.75
4139,3932,0.78
303,3932,0.77
4337,3932,0.83
13356,6948,0.82
13356,6948,0.75
13356,6948,0.77
13355,6948,0.79
13356,6948,0.87
13356,3458,0.8
13356,3458,0.88
13355,3458,0.81
13356,3458,0.86
13356,3469,0.76
13355,3469,0.79
19989,3469,0.76
13355,4979,0.72
13356,4979,0.75
22056,4979,0.7
22056,4979,0.77
30197,4979,0.55
13356,6262,0.78
13356,6262,0.78
13356,6262,0.87
15092,6262,0.82
15096,6262,0.84
13356,6262,0.82
13355,6262,0.82
15092,6262,0.8
15096,6262,0.83
13356,6262,0.88
15092,6262,0.83
15096,6262,0.81
13356,6262,0.76
16942,6262,0.84
13356,2639,0.82
13356,2639,0.83
13356,2639,0.6
13356,2639,0.73
16942,2639,0.83
30197,2639,0.59
30197,2639,0.77
303,2639,0.75
30197,2639,0.71
20809,2639,0.8
4371,2639,0.67
25661,2639,0.81
13356,4207,0.85
13356,4207,0.73
13356,4207,0.82
13356,4207,0.79
16942,4207,0.83
20809,4207,0.88
30197,4207,0.62
14769,4433,0.63
16942,4433,0.79
1489,4433,0.83
20854,11196,0.93
13517,11196,0.87
31143,11196,0.92
14742,11196,0.89
27586,11196,0.95
27175,11196,0.92
9271,11196,0.92
19219,11196,0.95
28786,11196,0.85
22640,11196,0.89
31950,11196,0.89
28473,11196,0.92
6127,11196,0.85
22634,11196,0.92
23700,11196,0.9
20585,11196,0.95
14743,11196,0.93
9271,11196,0.86
15819,11196,0.85
17682,11196,0.92
20840,11196,0.97
12573,11196,0.97
2994,11196,0.97
20835,11196,0.9
22641,11196,0.94
13356,837,0.79
15096,837,0.81
13356,1390,0.77
15096,837,0.79
13356,1390,0.77
13356,1390,0.79
13356,1390,0.87
30197,1390,0.62
303,1390,0.1
30197,1390,0.74
30197,1390,0.84
13356,1425,0.67
13356,1425,0.65
13355,1425,0.61
303,1425,0.16
20809,1425,0.76
30197,1425,0.79
3503,7820,0.84
15096,7820,0.83
15096,7820,0.8
15096,7820,0.84
15096,7820,0.67
13356,3627,0.74
13356,3627,0.68
13356,3627,0.72
19252,3627,0.31
1489,3627,0.78
5514,5415,0.58
19252,5415,0.64
19252,5415,0.88
22244,5415,0.48
25661,5415,0.82
19065,5415,0.74
18281,5415,0.62
21251,5415,0.57
1221,5415,0.81
1489,5415,0.75
15096,2162,0.85
3503,2162,0.85
22056,2162,0.76
14769,2162,0.64
15096,2162,0.8
13356,10049,0.81
13356,10049,0.83
13356,10049,0.72
13356,10049,0.77
16942,10049,0.79
15096,2557,0.84
3503,2557,0.79
15096,2557,0.79
15096,2557,0.8
15096,2557,0.85
15096,2557,0.77
15096,2557,0.72
15096,2557,0.76
1489,2557,0.66
11945,3280,0.82
13356,3280,0.77
13356,3280,0.85
13355,3280,0.89
13356,3280,0.85
13356,3280,0.74
30197,3280,0.64
3503,829,0.85
15096,829,0.84
15096,829,0.82
15096,829,0.84
15096,829,0.73
15096,829,0.82
15096,829,0.83
22056,829,0.83
16942,829,0.66
19989,829,0.75
1489,829,0.7
23534,2193,0.86
13356,2193,0.8
13356,2193,0.68
13356,2193,0.84
13356,2193,0.79
13355,2193,0.81
13356,2193,0.91
13356,2193,0.89
13356,2193,0.76
22056,2193,0.8
16942,2193,0.8
30197,2193,0.68
1489,2193,0.55
16514,1632,0.85
13356,1632,0.74
16942,1632,0.63
21865,1632,0.64
14177,1632,0.8
19252,1632,0.6
15548,1632,0.67
19376,1632,0.64
27282,1632,0.64
6658,1632,0.73
4288,1632,0.65
4288,1632,0.97
30197,1632,0.7
23534,7546,0.89
23534,7546,0.87
7151,7546,0.95
23534,7546,0.88
23534,7546,0.87
23534,7546,0.83
7151,7546,0.93
23534,7546,0.82
7151,7546,0.89
11945,7546,0.41
11945,7546,0.27
13356,7546,0.77
3119,7546,0.74
12029,7546,0.84
28852,6046,0.88
38,6046,0.6
14177,5480,0.83
15633,5480,0.87
28852,7085,0.88
28852,7085,0.81
38,7085,0.72
885,7085,0.8
29054,7085,0.81
27355,8344,0.77
885,8344,0.71
29054,8344,0.83
885,8344,0.7
5398,8344,0.73
27282,8344,0.86
27355,1529,0.66
25424,1529,0.54
16247,1529,0.84
32322,761,0.8
26281,761,0.8
29649,761,0.66
19406,5194,0.29
19406,5194,0.45
17541,5194,0.83
27355,5452,0.66
32322,5452,0.67
30645,5452,0.82
16116,5452,0.73
16942,5452,0.78
17541,5452,0.7
18142,5452,0.63
21029,5452,0.46
3119,5452,0.7
25661,5452,0.77
25661,5452,0.71
12029,5452,0.58
19065,5452,0.85
32240,5452,0.62
16247,5452,0.84
4695,5452,0.77
15633,5452,0.74
19406,4664,0.45
1457,4664,0.69
38,4664,0.87
5398,4664,0.58
885,1605,0.78
885,1605,0.67
16616,629,0.57
27355,629,0.75
12349,629,0.72
28612,629,0.76
935,629,0.68
19406,629,0.6
28852,629,0.8
25424,629,0.78
1457,629,0.75
950,629,0.71
16942,629,0.93
5398,629,0.69
20297,629,0.5
19065,629,0.63
16400,629,0.61
16247,629,0.79
29649,629,0.65
4695,629,0.59
38,9499,0.84
38,5037,0.58
5398,5037,0.77
9838,2584,0.54
21716,2584,0.7
17107,5813,0.84
1901,5813,0.8
13820,5813,0.65
27355,5203,0.45
30009,1082,0.71
31735,1082,0.67
2499,1082,0.66
13707,2156,0.99
21716,2156,0.8
749,1407,0.87
13707,1407,0.85
13707,3047,0.49
749,6076,0.62
13707,6076,0.79
2418,1559,0.77
5261,1559,0.64
29768,1559,0.66
18724,1559,0.8
29768,1559,0.67
2418,618,0.86
15038,618,0.51
25040,4394,0.83
18724,4394,0.81
29768,4394,0.78
24946,2206,0.78
19949,2206,0.85
15396,2206,0.65
25847,2206,0.8
2418,1561,0.77
27784,1561,0.66
18724,1561,0.83
29768,1561,0.59
29768,1561,0.88
5261,1561,0.77
25280,10070,0.87
15038,10070,0.71
29768,10070,0.8
25847,5449,0.59
25847,5449,0.73
29768,5449,0.72
15396,1114,0.8
2418,1114,0.76
15038,1114,0.81
189,2782,0.46
4774,2782,0.87
19949,3166,0.93
24946,3166,0.77
15396,3166,0.55
29428,5371,0.65
25847,5371,0.68
29768,5371,0.83
27355,6411,0.8
27784,5431,0.66
15396,4327,0.77
18724,4327,0.81
5261,4327,0.85
15396,4384,0.62
2418,4350,0.65
15038,4350,0.41
18724,4350,0.72
18724,4350,0.85
18382,1211,0.76
15396,1211,0.73
20046,1211,0.77
15396,1211,0.79
2418,1211,0.8
25847,1211,0.76
27122,1211,0.77
15396,3157,0.72
15038,1086,0.75
15396,9948,0.72
2418,9948,0.8
25847,9948,0.58
15038,9948,0.56
16282,5383,0.86
189,5383,0.65
16282,5383,0.72
27784,5383,0.65
25847,5383,0.55
5261,5383,0.49
29768,5383,0.75
27355,7002,0.76
24946,7002,0.78
19949,7002,0.8
29428,7002,0.63
15396,3126,0.43
20924,10071,0.72
2418,10071,0.51
29768,10071,0.71
15396,1521,0.81
25847,1521,0.72
1489,1521,0.58
30260,1521,0.71
18724,1521,0.84
5261,1521,0.81
14621,10140,0.99
14621,10140,0.99
14621,10140,0.96
14621,10140,0.99
14621,10140,0.98
14621,10140,0.92
14621,10140,0.93
14621,10140,1.0
14621,10140,0.98
14621,10140,0.98
14621,10140,0.98
14621,10140,0.99
14621,10140,0.99
15396,2261,0.74
25847,2261,0.82
15396,2261,0.79
27355,10947,0.76
27355,10947,0.86
22379,10947,0.74
28718,10947,0.77
24929,1518,0.76
4774,1518,0.79
20948,1518,0.71
3010,1355,0.84
19907,1355,0.75
29233,1355,0.71
16410,8018,0.66
6998,9177,0.85
6450,9177,0.74
6450,9177,0.51
16162,9177,0.85
21040,3808,0.75
29233,3808,0.62
189,3808,0.61
17868,3808,0.68
16162,3808,0.72
19227,6149,0.79
19065,10605,0.87
4692,10605,0.77
189,10605,0.7
189,10605,0.73
23676,7120,0.72
3010,7120,0.74
22851,7120,0.83
19907,7120,0.76
29233,7120,0.79
4692,7120,0.78
27355,4965,0.8
7001,9652,0.72
26082,9652,0.84
1824,9652,0.85
7001,9055,0.58
7001,9055,0.72
24401,9055,0.72
16162,9055,0.84
19907,3316,0.7
6316,3316,0.79
6716,1326,0.68
22851,1326,0.85
29233,1326,0.75
16410,1326,0.34
7010,1326,0.59
27355,4536,0.72
29233,4536,0.66
3010,4536,0.64
19227,4536,0.78
189,4536,0.65
27355,3438,0.77
4692,3438,0.77
19227,3438,0.75
189,3438,0.78
16410,3438,0.61
17455,6488,0.72
16162,6488,0.84
189,6488,0.4
19227,6488,0.79
23676,5773,0.6
3010,5773,0.72
16162,5773,0.78
19065,4164,0.76
189,4164,0.68
16410,4164,0.68
23676,10574,0.79
23676,10574,0.64
19065,7105,0.85
23676,10076,0.73
13356,7824,0.82
17868,10234,0.08
16162,10234,0.73
6891,10234,0.77
22292,10234,0.7
22292,10234,0.69
16623,42,0.75
19065,6454,0.82
19065,6454,0.79
189,6454,0.62
27355,5451,0.75
16162,5451,0.86
19227,5451,0.83
7010,3455,0.75
27355,3464,0.76
24401,3464,0.78
23676,3464,0.75
19227,3464,0.79
7010,3464,0.86
16162,6121,0.82
29233,6121,0.65
19227,6121,0.8
189,6121,0.64
16410,6121,0.59
4439,6121,0.75
7010,5274,0.7
25683,5274,0.78
14126,5274,0.77
18598,5274,0.85
19065,5302,0.73
19947,5434,0.85
24610,5434,0.64
31422,3553,0.75
19065,3553,0.79
27355,2753,0.85
27355,2753,0.77
57,2753,0.56
16410,2753,0.7
29649,7687,0.73
23676,7687,0.78
6985,5450,0.6
189,5450,0.66
6316,5450,0.78
17868,5450,0.85
7010,5450,0.28
3010,7086,0.76
29233,7086,0.75
20627,7175,0.82
18008,558,0.5
20351,558,0.68
4695,558,0.7
22292,558,0.78
29649,11290,0.63
27047,6537,0.76
27180,6537,0.82
29233,6537,0.75
16410,6537,0.7
7001,11283,0.77
7001,11283,0.61
7001,11283,0.75
17868,11283,0.75
16623,11283,0.61
23676,9565,0.75
19065,2140,0.77
23676,2140,0.77
189,2140,0.8
21040,2140,0.78
19065,2140,0.85
21040,2140,0.81
18092,3226,0.83
29233,3226,0.81
16162,3226,0.81
189,3226,0.83
19947,1172,0.83
31864,1172,0.84
3010,1172,0.34
17868,1172,0.73
7001,3783,0.69
24401,3783,0.84
29233,3783,0.7
19227,3783,0.77
6891,3783,0.74
19227,3990,0.79
189,3990,0.76
23676,867,0.7
189,867,0.68
24401,8489,0.85
3010,8489,0.83
31864,8489,0.85
19907,7074,0.73
19227,7097,0.78
16623,10427,0.76
16410,2323,0.65
23676,2323,0.77
19227,2323,0.78
3141,5308,0.72
12357,5308,0.76
15517,5308,0.66
22930,5308,0.76
22292,5308,0.63
19065,5308,0.57
31658,5308,0.59
18004,10562,0.71
26902,10562,0.78
26902,10562,0.78
7010,10562,0.76
31205,10562,0.57
20351,10562,0.64
17455,6240,0.61
3010,6240,0.77
189,6240,0.69
16410,6240,0.64
16623,11029,0.78
16623,11029,0.79
19065,11029,0.83
6985,11029,0.81
19907,11029,0.69
6874,11029,0.78
18092,7225,0.82
16162,7225,0.83
16162,7225,0.85
19227,7225,0.79
23676,9813,0.77
17546,5300,0.79
15479,5300,0.81
15479,5300,0.83
15479,5300,0.84
15479,5300,0.8
15479,5300,0.75
25312,9250,0.86
25312,9250,0.87
2644,2197,0.83
15284,7320,0.74
27885,7320,0.85
16911,3971,0.85
15284,3971,0.76
19947,3971,0.84
12902,8142,0.61
31505,8142,0.85
16162,8142,0.85
22384,4700,0.73
32159,4700,0.84
16162,4700,0.84
23632,4137,0.74
16911,11038,0.83
20297,11038,0.66
24946,11038,0.85
19318,11038,0.79
15096,11038,0.79
28585,11038,0.65
18142,11038,0.54
3857,11038,0.73
23518,11038,0.82
20049,11038,0.69
15984,11038,0.43
15984,11038,0.78
16911,9092,0.82
20297,9092,0.77
32159,5785,0.74
20627,5785,0.81
29481,5154,0.83
15284,5154,0.69
15284,5154,0.72
2909,5154,0.58
18450,5154,0.79
24610,5154,0.75
3406,7807,0.72
2909,7807,0.72
18794,7807,0.82
822,3537,0.78
29481,2004,0.85
4991,2004,0.87
9653,874,0.89
20627,874,0.85
21564,874,0.83
27396,874,0.59
18620,874,0.74
5718,874,0.52
26478,6328,0.22
27355,721,0.66
18917,721,0.81
16911,721,0.86
18540,721,0.87
22599,721,0.81
31505,721,0.76
27396,721,0.66
27355,5055,0.64
16911,5055,0.83
18142,5055,0.58
27885,5055,0.72
26618,5055,0.74
31422,5055,0.44
23847,5055,0.67
21664,5055,0.82
5718,5055,0.52
24610,5055,0.68
4211,5055,0.49
16911,1460,0.86
18540,1460,0.84
4991,1460,0.54
29104,1460,0.79
16162,1460,0.78
18785,1460,0.76
16282,1460,0.8
27355,715,0.7
16911,715,0.85
2909,715,0.71
29104,715,0.77
26239,715,0.66
24610,715,0.6
27355,9897,0.75
16623,9897,0.57
18917,9897,0.78
16911,9897,0.86
17595,9897,0.8
31505,9897,0.84
19947,9897,0.83
24610,9897,0.45
24610,9897,0.7
31505,6593,0.85
27885,6593,0.84
24133,2332,0.79
6874,2332,0.8
15984,2332,0.83
19227,2332,0.8
16623,9288,0.65
12600,9288,0.79
19318,9288,0.81
23632,9288,0.76
5262,9288,0.61
29428,9288,0.73
12357,9288,0.73
24610,9288,0.65
4211,9288,0.73
27885,2317,0.81
32159,2317,0.75
12357,2317,0.76
5862,2317,0.85
749,5054,0.8
12902,5054,0.71
18917,5054,0.81
31505,5054,0.91
8798,2558,0.82
4991,9793,0.53
23847,9793,0.79
24610,9793,0.64
24610,9793,0.75
26618,2558,0.8
6874,2558,0.81
15167,2558,0.55
16911,8130,0.81
16162,8130,0.84
16623,736,0.73
24610,736,0.74
14989,736,0.66
29271,736,0.54
16282,736,0.82
12813,736,0.55
24610,736,0.74
16911,9903,0.85
16911,9903,0.87
18540,9903,0.74
16162,9903,0.86
27885,9903,0.75
23518,9903,0.76
16911,1304,0.76
16911,723,0.82
24610,723,0.74
2865,723,0.87
28498,723,0.78
22379,723,0.72
15155,723,0.76
14989,723,0.78
16282,723,0.76
12813,723,0.71
29271,723,0.8
24610,723,0.73
24610,723,0.67
16623,724,0.75
2472,724,0.53
24610,724,0.62
24610,724,0.6
31979,724,0.75
18142,724,-9.223372036854776e+18
29104,724,0.73
24610,724,0.68
26478,740,0.73
16911,740,0.85
6702,740,0.81
18540,740,0.8
29104,740,0.78
19227,740,0.77
24610,740,0.74
24610,740,0.81
18540,5329,0.9
17541,4852,0.42
18142,4852,0.59
18785,4852,0.74
13144,8192,0.65
26224,8192,0.73
16282,8192,0.72
5069,4098,0.64
28493,4098,0.45
3406,3123,0.85
16911,3123,0.84
16911,3123,0.9
31505,3123,0.74
27885,3123,0.67
16162,3123,0.79
16162,3855,0.83
19227,3855,0.77
16162,3855,0.78
16623,10656,0.76
13098,10656,0.58
30978,10656,0.76
18917,10656,0.86
29481,10656,0.83
23269,10656,0.72
32298,10656,0.75
28498,10656,0.88
16162,10656,0.66
32240,10656,0.76
16146,10656,0.79
22379,10656,0.71
19376,10656,0.68
6122,10656,0.59
20049,10656,0.75
