id_user,id_res,X,userId,resId
foodee_xmqw5wz8,163817,0.6,11945,1424
foodee_xmqw5wz8,163817,0.63,11945,1424
hdtuan93,163817,0.8,13356,1424
hdtuan93,163817,0.78,13356,1424
phuongnhiyixing,163817,0.81,24586,1424
hdtuan93,163817,0.79,13356,1424
hdtuan93,163817,0.76,13356,1424
kidrock9x,163817,0.77,16328,1424
hdtuan93,163817,0.76,13356,1424
michelcuong,163817,0.85,19252,1424
tranminhthe31a1,163817,0.77,29503,1424
lamthikimthu,163817,0.85,16942,1424
michelcuong,163817,0.77,19252,1424
nguynkimchu6373,163817,0.75,22256,1424
0971159089,163817,0.62,303,1424
cuacon_pocodo_33,163817,0.86,5398,1424
thanhtruc2111,163817,0.83,27282,1424
huy.tiamo,163817,0.84,14958,1424
01626369858,163817,0.89,55,1424
nghia.chauphu,163817,0.79,20809,1424
ttbms,163817,0.77,30197,1424
vuongbaochau90,163817,0.94,31486,1424
Trinhdinh158,163817,0.95,2172,1424
ttbms,163817,0.63,30197,1424
huyhong6306,738001,0.76,15096,8609
nguyenthuytrucanh,280481,0.78,22056,4297
anhhungcorom007,280481,0.89,2793,4297
hdtuan93,704178,0.8,13356,7635
hdtuan93,704178,0.63,13356,7635
hdtuan93,769659,0.82,13356,9271
ttbms,188162,0.72,30197,1980
galaxynovar,188162,0.84,12380,1980
ttbms,188162,0.77,30197,1980
nghia.chauphu,210951,0.73,20809,2568
minhkhang_hng,19377,0.86,19497,2136
taysungmientay,19377,0.68,26795,2136
dangnhutduy221982,679543,0.8,5646,7052
hdtuan93,679543,0.83,13356,7052
chyngdia108,679543,0.87,5070,7052
hdtuan93,679543,0.81,13356,7052
hdtuan93,253064,0.74,13356,3620
hdtuan93,253064,0.75,13356,3620
hdtuan93,253064,0.77,13356,3620
lamthikimthu,253064,0.85,16942,3620
michelcuong,253064,0.88,19252,3620
np23101996,253064,0.86,23130,3620
ttbms,253064,0.77,30197,3620
vinhthanh3tc,253877,0.85,31091,3639
ttbms,286104,0.76,30197,4457
cactus1551994,190442,0.72,4372,2050
cactus1551994,188577,0.53,4372,2005
hdtuan93,692062,0.8,13356,7342
hdtuan93,692062,0.79,13356,7342
hdtuan93,692062,0.82,13356,7342
hdtuan.agp,692062,0.78,13355,7342
hdtuan.agp,692062,0.83,13355,7342
hdtuan93,692062,0.81,13356,7342
panda1983,669397,0.85,23534,6820
devol1108,669397,0.86,5922,6820
phung.ngan169,669397,0.87,24350,6820
foodee_zqil6m3b,669397,0.94,12183,6820
ngodaihuy,669397,0.96,21239,6820
hdtuan93,669397,0.75,13356,6820
caovan9861,669397,0.94,4524,6820
trandaitrang2110,669397,0.83,29181,6820
huynhlamquoctrung,669397,0.89,15178,6820
