userId,resId,X
15096,1431,0.83
13356,3690,0.76
13356,5148,0.83
13356,7878,0.76
13356,7878,0.71
13356,2196,0.74
13356,2196,0.76
13356,2196,0.64
15096,2196,0.44
13356,2196,0.83
15096,2196,0.77
13356,2196,0.85
15096,2196,0.84
13356,2196,0.64
15096,2196,0.67
13356,10133,0.62
13356,10133,0.54
15096,7020,0.76
15096,7020,0.77
15096,7020,0.74
13356,6399,0.79
13356,6399,0.74
13356,6399,0.8
13356,6399,0.72
13356,2520,0.74
13356,2520,0.77
15096,4616,0.81
15096,4616,0.83
15096,4616,0.83
15096,4616,0.84
15096,4616,0.79
13356,1424,0.8
13356,1424,0.78
13356,1424,0.79
13356,1424,0.76
13356,1424,0.76
13356,3620,0.74
13356,3620,0.75
13356,3620,0.77
13356,7342,0.8
13356,7342,0.79
13356,7342,0.82
13356,7342,0.81
13356,6820,0.75
13356,2561,0.7
13356,2212,0.71
15096,2212,0.81
15096,2212,0.8
15096,2212,0.82
15096,2212,0.84
15096,2212,0.72
13356,1734,0.67
13356,1734,0.73
13356,1734,0.7
13356,1969,0.73
13356,1969,0.67
13356,3426,0.82
15096,3426,0.82
15096,3426,0.85
13356,3626,0.89
13356,3626,0.79
13356,3626,0.84
13356,830,0.71
15096,830,0.83
15096,830,0.72
13356,3267,0.76
13356,3267,0.68
13356,828,0.8
13356,828,0.83
13356,828,0.76
25661,2341,0.81
13356,5189,0.69
13356,5189,0.68
13356,9394,0.82
13356,3976,0.8
13356,3976,0.76
13356,4701,0.74
13356,4701,0.77
13356,4701,0.85
13356,4701,0.89
13356,4701,0.66
13356,4701,0.78
13356,3852,0.76
13356,3852,0.84
13356,7475,0.76
13356,7475,0.79
13356,7475,0.87
13356,7475,0.78
19989,2365,0.71
13356,8398,0.73
13356,8398,0.67
13356,1979,0.82
13356,1979,0.82
13356,1979,0.86
13356,1979,0.77
13356,7521,0.77
13356,7521,0.85
13356,7521,0.85
13356,7521,0.88
13356,7476,0.72
13356,7476,0.82
13356,3452,0.88
13356,3452,0.82
13356,3452,0.86
15096,4880,0.77
13356,4880,0.78
13356,3348,0.83
13356,3348,0.68
13356,3348,0.81
13356,3348,0.75
13356,8131,0.78
13356,274,0.84
13356,274,0.8
13356,274,0.84
13356,274,0.8
13356,274,0.61
15096,274,0.47
13356,3900,0.81
13356,1480,0.84
13356,1480,0.76
13356,3932,0.77
13356,6948,0.82
13356,6948,0.75
13356,6948,0.77
13356,6948,0.87
13356,3458,0.8
13356,3458,0.88
13356,3458,0.86
13356,3469,0.76
19989,3469,0.76
13356,4979,0.75
13356,6262,0.78
13356,6262,0.78
13356,6262,0.87
15096,6262,0.84
13356,6262,0.82
15096,6262,0.83
13356,6262,0.88
15096,6262,0.81
13356,6262,0.76
13356,2639,0.82
13356,2639,0.83
13356,2639,0.6
13356,2639,0.73
25661,2639,0.81
13356,4207,0.85
13356,4207,0.73
13356,4207,0.82
13356,4207,0.79
13356,837,0.79
15096,837,0.81
13356,1390,0.77
15096,837,0.79
13356,1390,0.77
13356,1390,0.79
13356,1390,0.87
13356,1425,0.67
13356,1425,0.65
15096,7820,0.83
15096,7820,0.8
15096,7820,0.84
15096,7820,0.67
13356,3627,0.74
13356,3627,0.68
13356,3627,0.72
25661,5415,0.82
15096,2162,0.85
15096,2162,0.8
13356,10049,0.81
13356,10049,0.83
13356,10049,0.72
13356,10049,0.77
15096,2557,0.84
15096,2557,0.79
15096,2557,0.8
15096,2557,0.85
15096,2557,0.77
15096,2557,0.72
15096,2557,0.76
13356,3280,0.77
13356,3280,0.85
13356,3280,0.85
13356,3280,0.74
15096,829,0.84
15096,829,0.82
15096,829,0.84
15096,829,0.73
15096,829,0.82
15096,829,0.83
19989,829,0.75
13356,2193,0.8
13356,2193,0.68
13356,2193,0.84
13356,2193,0.79
13356,2193,0.91
13356,2193,0.89
13356,2193,0.76
13356,1632,0.74
13356,7546,0.77
25661,5452,0.77
25661,5452,0.71
16282,5383,0.86
16282,5383,0.72
30260,1521,0.71
16162,9177,0.85
16162,3808,0.72
16162,9055,0.84
16162,6488,0.84
16162,5773,0.78
13356,7824,0.82
16162,10234,0.73
16162,5451,0.86
16162,6121,0.82
18598,5274,0.85
24610,5434,0.64
16162,3226,0.81
16162,7225,0.83
16162,7225,0.85
16162,8142,0.85
16162,4700,0.84
15096,11038,0.79
24610,5154,0.75
24610,5055,0.68
16162,1460,0.78
16282,1460,0.8
24610,715,0.6
24610,9897,0.45
24610,9897,0.7
24610,9288,0.65
24610,9793,0.64
24610,9793,0.75
16162,8130,0.84
24610,736,0.74
16282,736,0.82
24610,736,0.74
16162,9903,0.86
24610,723,0.74
16282,723,0.76
24610,723,0.73
24610,723,0.67
24610,724,0.62
24610,724,0.6
24610,724,0.68
24610,740,0.74
24610,740,0.81
16282,8192,0.72
16162,3123,0.79
16162,3855,0.83
16162,3855,0.78
16162,10656,0.66
24610,10656,0.76
16162,6073,0.85
24610,6073,0.5
24610,6073,0.56
24610,9894,0.66
16162,6846,0.86
16162,3134,0.63
16282,627,0.77
24610,2240,0.72
2853,2240,0.08
13356,4631,0.79
24610,4631,0.74
24610,4671,0.77
24610,4671,0.74
16162,10663,0.78
16162,7150,0.92
25661,9219,0.68
16162,725,0.75
16282,725,0.78
24610,725,0.83
16162,10527,0.8
25661,4199,0.91
25661,2444,0.84
25661,3482,0.85
15096,1615,0.65
15096,1615,0.81
15096,996,0.75
15096,996,0.82
15096,996,0.82
15096,996,0.85
15096,996,0.66
15096,1730,0.8
13356,1361,0.79
15096,2716,0.83
15096,2716,0.77
15096,2716,0.83
15096,2716,0.83
25661,2716,0.78
25661,2716,0.8
25661,550,0.74
25661,550,0.62
25661,550,0.66
15096,3637,0.82
15096,3637,0.73
15096,3637,0.8
15096,3637,0.82
15096,3637,0.83
15096,3637,0.82
13356,3637,0.58
25661,1406,0.77
25661,2262,0.82
15096,2262,0.74
15096,4340,0.84
15096,4340,0.77
15096,4340,0.78
15096,4340,0.87
15096,4340,0.87
25661,4842,0.63
15096,4665,0.8
15096,4665,0.77
15096,4665,0.81
15096,4665,0.81
19989,4665,0.68
15096,4665,0.74
15096,4665,0.68
25661,11227,0.87
25661,11227,0.83
15096,11227,0.74
25661,3861,0.62
25661,3861,0.79
25661,3861,0.72
15096,4791,0.82
19989,4791,0.72
25661,4791,0.67
15096,4791,0.77
17005,9684,0.79
20655,9684,0.78
17005,9097,0.73
24753,9097,0.79
24753,9097,0.74
17005,9989,0.74
4440,9989,0.64
4440,9989,0.62
4440,9989,0.66
4440,9989,0.81
4440,9989,0.76
20655,9989,0.74
20655,9989,0.74
20655,9989,0.63
24753,9989,0.78
20655,9989,0.78
20655,9989,0.8
12509,9989,0.71
24753,9989,0.79
12509,9989,0.73
12509,9989,0.75
24753,9989,0.74
24753,9989,0.65
12509,9989,0.78
12509,9989,0.8
12509,9989,0.66
20655,250,0.87
20655,8412,0.75
20655,671,0.7
12509,671,0.79
20655,671,0.68
12509,671,0.78
12509,671,0.76
12509,671,0.81
20655,9615,0.78
17005,9615,0.82
17005,10054,0.75
17005,10054,0.83
17005,10054,0.8
20655,11098,0.83
17005,11098,0.82
17005,11098,0.72
652,10034,0.87
17005,97,0.71
24753,10034,0.83
24753,6877,0.64
17005,844,0.77
652,844,0.91
4440,844,0.83
4440,844,0.88
20655,844,0.8
24753,844,0.7
15020,844,0.82
24753,844,0.78
15020,844,0.9
17005,7013,0.7
652,5641,0.85
24753,4180,0.8
24753,4795,0.78
20655,4762,0.81
652,10951,0.85
24753,10951,0.85
17005,11159,0.71
20655,5134,0.8
17005,5134,0.63
24753,10490,0.64
652,1415,0.75
17005,1415,0.78
4440,1415,0.66
1126,1415,0.8
2853,1415,0.86
2853,1415,0.78
20655,1415,0.6
12509,567,0.44
18598,567,0.53
17005,7936,0.63
652,7936,0.77
4440,7936,0.79
20655,6239,0.74
12509,6239,0.79
652,785,0.79
17005,11022,0.73
17005,11022,0.73
17005,11022,0.71
652,11022,0.81
20655,11022,0.75
20655,11022,0.67
20655,11022,0.75
12509,11022,0.7
12509,11022,0.74
24753,11022,0.78
17005,11022,0.68
24753,11022,0.6
24753,11022,0.67
17005,4751,0.77
17005,4751,0.82
20655,4751,0.64
4440,1866,0.76
4440,1866,0.84
15020,1866,0.95
15020,1866,0.88
15020,1866,0.99
15020,1866,0.99
4440,1866,0.81
15020,1866,0.89
15020,1866,0.96
20655,1866,0.7
15020,1866,0.99
15020,1866,0.89
15020,1866,0.92
652,7151,0.84
652,7151,0.84
652,2771,0.8
24753,2771,0.51
24753,2771,0.65
652,5538,0.83
15020,5538,0.92
17005,10832,0.81
17005,10832,0.82
17005,10832,0.82
17005,10832,0.77
24753,10832,0.83
17005,924,0.84
652,924,0.93
24753,924,0.67
17005,5967,0.84
24753,5967,0.73
20655,5967,0.85
17005,5967,0.85
12509,5967,0.82
20655,5967,0.86
652,5281,0.84
24753,8722,0.73
17005,5850,0.79
652,5850,0.84
17005,5850,0.75
12509,5850,0.77
20655,5850,0.83
20655,5850,0.75
24753,5850,0.7
20655,5850,0.83
20655,5850,0.82
17005,5850,0.81
20655,5850,0.77
17005,739,0.56
17005,1289,0.71
12509,1289,0.68
17005,6354,0.82
652,6354,0.81
20655,6354,0.78
20655,6354,0.81
24753,6354,0.71
12509,6354,0.65
