userId,resId,X
15096,1431,0.83
30197,1431,0.76
13356,3690,0.76
13356,5148,0.83
30197,5148,0.66
13356,7878,0.76
13356,7878,0.71
13356,2196,0.74
13356,2196,0.76
13356,2196,0.64
15096,2196,0.44
13356,2196,0.83
15096,2196,0.77
13356,2196,0.85
15096,2196,0.84
13356,2196,0.64
15096,2196,0.67
13356,10133,0.62
13356,10133,0.54
15096,7020,0.76
15096,7020,0.77
15096,7020,0.74
13356,9842,0.85
13356,6399,0.79
13356,6399,0.74
13356,6399,0.8
13356,6399,0.72
13356,7809,0.7
13356,7809,0.71
13356,7809,0.78
13356,2520,0.74
13356,2520,0.77
13356,7520,0.67
13356,7520,0.74
13355,7520,0.74
13356,7520,0.83
13356,7629,0.79
13356,7629,0.84
13356,7629,0.82
15096,4616,0.81
15096,4616,0.83
15096,4616,0.83
15096,4616,0.84
15096,4616,0.79
1489,6569,0.73
13356,1424,0.8
13356,1424,0.78
13356,1424,0.79
13356,1424,0.76
13356,1424,0.76
30197,1424,0.77
30197,1424,0.63
30197,1980,0.72
30197,1980,0.77
13356,7052,0.83
13356,7052,0.81
13356,3620,0.74
13356,3620,0.75
13356,3620,0.77
30197,3620,0.77
13356,7342,0.8
13356,7342,0.79
13356,7342,0.82
13355,7342,0.78
13355,7342,0.83
13356,7342,0.81
13356,6820,0.75
13356,2561,0.7
1489,2561,0.69
13356,2212,0.71
15096,2212,0.81
15096,2212,0.8
15096,2212,0.82
15096,2212,0.84
15096,2212,0.72
13356,767,0.8
13356,767,0.77
30197,767,0.69
13356,7630,0.85
13356,7630,0.86
13356,7630,0.74
13356,7810,0.81
13356,7810,0.7
13356,7810,0.67
13356,1479,0.76
30197,1479,0.62
30197,1479,0.69
13356,1734,0.67
13356,1734,0.73
13355,1734,0.73
13356,1734,0.7
30197,1734,0.73
1489,1734,0.71
15096,5695,0.84
15096,5695,0.85
30197,3940,0.82
13356,3629,0.8
4372,2640,0.74
25661,2640,0.68
25661,2640,0.57
13356,5685,0.64
13356,5685,0.67
13356,5685,0.65
13356,2699,0.6
13356,1969,0.73
13355,1969,0.64
13356,1969,0.67
13356,3426,0.82
15096,3426,0.82
14769,3426,0.82
15096,3426,0.85
13356,2233,0.79
30197,457,0.57
30197,457,0.56
13356,3626,0.89
13356,3626,0.79
13356,3626,0.84
13356,830,0.71
15096,830,0.83
15096,830,0.72
1489,830,0.69
13356,3267,0.76
13356,3267,0.68
15096,5956,0.82
13356,828,0.8
13356,828,0.83
13356,828,0.76
30197,828,0.68
15096,7019,0.78
15096,7019,0.83
6658,2131,0.64
6658,2131,0.62
1489,2131,0.52
25661,2341,0.81
13356,5189,0.69
13356,5189,0.68
30197,5189,0.65
13356,9394,0.82
13356,7657,0.83
13356,7657,0.8
13356,7657,0.72
13356,3976,0.8
13355,3976,0.61
13356,3976,0.76
13356,3922,0.76
13356,3922,0.85
13356,3922,0.79
6658,4057,0.8
6658,4057,0.8
13356,9396,0.83
13356,4701,0.74
13356,4701,0.77
13356,4701,0.85
13355,4701,0.73
13356,4701,0.89
13356,4701,0.66
13356,4701,0.78
1489,4701,0.84
12029,3852,0.76
13356,3852,0.76
13356,3852,0.84
13355,3852,0.72
14177,3852,0.8
13356,7475,0.76
13356,7475,0.79
13356,7475,0.87
13355,7475,0.86
13355,7475,0.79
13356,7475,0.78
15096,8090,0.81
15096,8090,0.85
19989,2365,0.71
30197,2365,0.72
4372,2365,0.8
13356,8398,0.73
13355,8398,0.7
13356,8398,0.67
13356,7634,0.65
13356,7634,0.71
13356,7634,0.72
13356,9391,0.86
13356,7636,0.81
13356,7636,0.81
13356,7636,0.7
13356,1979,0.82
13356,1979,0.82
13356,1979,0.86
13356,1979,0.77
30197,1979,0.83
13356,7521,0.77
13356,7521,0.85
13356,7521,0.85
13355,7521,0.79
13356,7521,0.88
13356,7476,0.72
13355,7476,0.76
13356,7476,0.82
13356,7988,0.69
13356,3452,0.88
13356,3452,0.82
13355,3452,0.81
13356,3452,0.86
15096,4880,0.77
13356,4880,0.78
14769,4880,0.75
1489,4880,0.82
13356,3348,0.83
13356,3348,0.68
13356,3348,0.81
13355,3348,0.7
13356,3348,0.75
13356,8131,0.78
13356,274,0.84
13356,274,0.8
13356,274,0.84
13356,274,0.8
12029,274,0.57
13356,274,0.61
3119,274,0.68
12029,274,0.79
15096,274,0.47
30197,274,0.75
13356,7292,0.8
13356,7292,0.68
13356,3234,0.83
1489,9937,0.8
1489,3983,0.64
13356,3900,0.81
15096,8094,0.8
15096,8094,0.8
13356,1480,0.84
13355,1480,0.72
13356,1480,0.76
30197,1480,0.76
30197,1480,0.77
30197,1480,0.74
30197,1480,0.73
30197,1480,0.79
30197,1480,0.68
30197,1480,0.68
30197,1480,0.75
13356,7741,0.82
13356,7741,0.85
13356,7741,0.84
13356,3932,0.77
13355,3932,0.74
13356,4208,0.78
13356,4208,0.79
15096,8107,0.82
15096,8107,0.83
13356,6948,0.82
13356,6948,0.75
13356,6948,0.77
13355,6948,0.79
13356,6948,0.87
13356,3458,0.8
13356,3458,0.88
13355,3458,0.81
13356,3458,0.86
13355,7477,0.74
13356,7477,0.81
13356,3469,0.76
13355,3469,0.79
19989,3469,0.76
13355,4979,0.72
13356,4979,0.75
30197,4979,0.55
13356,6262,0.78
